,time,duration,code,label
339,298552,0,11,0
340,298808,0,23,0
341,299064,0,18,0
342,299320,0,24,1
343,299577,0,21,1
344,299833,0,1,0
345,300089,0,20,1
346,300345,0,12,1
347,301211,0,24,0
348,301465,0,11,0
349,301721,0,19,1
350,301977,0,1,1
351,302233,0,20,1
352,302490,0,23,1
353,302746,0,18,1
354,303002,0,21,0
355,303258,0,22,0
356,303514,0,12,1
357,304382,0,13,1
358,309831,0,4,1
359,309848,0,22,0
360,310093,0,23,0
361,310349,0,19,1
362,310606,0,1,0
363,310862,0,11,0
364,311118,0,21,1
365,311374,0,24,0
366,311630,0,20,1
367,311886,0,18,1
368,312142,0,12,0
369,313008,0,1,0
370,313262,0,20,0
371,313518,0,19,0
372,313775,0,24,0
373,314032,0,18,1
374,314287,0,21,0
375,314543,0,23,0
376,314799,0,22,1
377,315055,0,11,1
378,315311,0,12,0
379,316178,0,13,0
380,321592,0,10,0
381,321612,0,11,1
382,321857,0,20,1
383,322114,0,18,0
384,322370,0,22,0
385,322626,0,23,0
386,322882,0,21,1
387,323138,0,1,0
388,323394,0,24,1
389,323650,0,19,0
390,323907,0,12,1
391,324773,0,23,0
392,325028,0,21,0
393,325284,0,24,1
394,325540,0,22,0
395,325796,0,11,1
396,326052,0,19,0
397,326308,0,18,0
398,326564,0,20,0
399,326820,0,1,0
400,327077,0,12,0
401,327944,0,13,1
402,333387,0,9,1
403,333409,0,24,1
404,333655,0,19,0
405,333911,0,23,0
406,334167,0,18,1
407,334423,0,21,0
408,334679,0,20,0
409,334935,0,22,1
410,335191,0,11,0
411,335447,0,1,0
412,335704,0,12,0
413,336570,0,24,0
414,336824,0,19,1
415,337080,0,21,0
416,337336,0,22,1
417,337592,0,18,0
418,337848,0,20,0
419,338104,0,23,1
420,338360,0,1,0
421,338616,0,11,1
422,338873,0,12,0
423,339739,0,18,0
424,339993,0,22,1
425,340249,0,11,0
426,340505,0,23,1
427,340761,0,19,1
428,341017,0,1,1
429,341274,0,21,1
430,341530,0,20,1
431,341786,0,24,1
432,342042,0,12,1
433,342909,0,13,1
434,348351,0,9,0
435,348374,0,21,1
436,348620,0,23,1
437,348876,0,22,1
438,349132,0,18,0
439,349388,0,11,1
440,349645,0,20,1
441,349900,0,1,1
442,350157,0,19,1
443,350413,0,24,0
444,350669,0,12,0
445,351535,0,11,1
446,351789,0,18,1
447,352046,0,21,1
448,352301,0,20,1
449,352557,0,23,0
450,352813,0,1,1
451,353070,0,19,1
452,353326,0,22,0
453,353582,0,24,1
454,353838,0,12,1
455,354704,0,13,0
456,360128,0,8,1
457,360154,0,21,1
458,360400,0,11,1
459,360656,0,24,0
460,360912,0,22,1
461,361168,0,23,1
462,361425,0,18,1
463,361681,0,1,1
464,361937,0,19,1
465,362193,0,20,1
466,362449,0,12,1
467,363316,0,19,0
468,363569,0,22,1
469,363825,0,24,1
470,364081,0,21,0
471,364338,0,1,0
472,364594,0,18,0
473,364850,0,23,0
474,365107,0,11,0
475,365363,0,20,1
476,365619,0,12,0
477,366486,0,13,1
478,371921,0,6,0
479,371936,0,11,1
480,372181,0,22,0
481,372438,0,21,1
482,372694,0,19,1
483,372950,0,1,0
484,373206,0,20,0
485,373462,0,18,1
486,373718,0,24,0
487,373974,0,23,1
488,374230,0,12,0
489,375096,0,19,0
490,375351,0,22,1
491,375607,0,11,1
492,375863,0,1,1
493,376119,0,24,1
494,376375,0,21,1
495,376631,0,18,1
496,376887,0,20,1
497,377143,0,23,0
498,377400,0,12,1
499,378266,0,20,0
500,378520,0,18,0
501,378776,0,22,1
502,379032,0,23,0
503,379288,0,19,1
504,379544,0,21,1
505,379800,0,11,1
506,380056,0,24,0
507,380312,0,1,0
508,380569,0,12,1
509,381435,0,1,1
510,381689,0,11,1
511,381945,0,24,1
512,382201,0,19,1
513,382457,0,20,1
514,382713,0,18,0
515,382969,0,22,0
516,383225,0,23,1
517,383482,0,21,0
518,383738,0,12,1
519,384605,0,13,1
520,385987,0,15,1
521,397365,0,14,0
522,416750,0,2,1
523,416769,0,24,1
524,417015,0,22,0
525,417271,0,23,0
